nama citra , contrast(0) , contrast(45) , contrast(90) , contrast(135) , dissimilarity(0) , dissimilarity(45) , dissimilarity(90) , dissimilarity(135) , homogeneity(0) , homogeneity(45) , homogeneity(90) , homogeneity(135) , energy(0) , energy(45) , energy(90) , energy(135) , correlation(0) , correlation(45) , correlation(90) , correlation(135) , ASM(0) , ASM(45) , ASM(90) , ASM(135) , label
Copy of m10.png , 26174.2045 , 29331.2443 , 24748.9091 , 26174.2045 , 102.6439 , 115.0245 , 97.0545 , 102.6439 , 0.5975 , 0.5489 , 0.6194 , 0.5975 , 0.5804 , 0.5731 , 0.5845 , 0.5804 , 0.0477 , -0.0639 , 0.0995 , 0.0477 , 0.3368 , 0.3284 , 0.3416 , 0.3368 , matang
Copy of m100.png , 25990.2955 , 32058.0349 , 29366.3409 , 25990.2955 , 101.9227 , 125.7178 , 115.1621 , 101.9227 , 0.6003 , 0.507 , 0.5484 , 0.6003 , 0.5621 , 0.5518 , 0.5539 , 0.5621 , 0.1001 , -0.1066 , -0.0138 , 0.1001 , 0.3159 , 0.3045 , 0.3069 , 0.3159 , matang
Copy of m101.png , 24886.8409 , 28773.944 , 24919.6818 , 24886.8409 , 97.5955 , 112.839 , 97.7242 , 97.5955 , 0.6173 , 0.5575 , 0.6168 , 0.6173 , 0.5881 , 0.578 , 0.5874 , 0.5881 , 0.0842 , -0.0556 , 0.0845 , 0.0842 , 0.3458 , 0.3341 , 0.345 , 0.3458 , matang
Copy of m102.png , 24335.1136 , 28601.4463 , 24578.1364 , 24335.1136 , 95.4318 , 112.1625 , 96.3848 , 95.4318 , 0.6258 , 0.5602 , 0.622 , 0.6258 , 0.5953 , 0.5838 , 0.5947 , 0.5953 , 0.0904 , -0.0656 , 0.0808 , 0.0904 , 0.3544 , 0.3409 , 0.3537 , 0.3544 , matang
Copy of m103.png , 24919.6818 , 30724.4949 , 27960.75 , 24919.6818 , 97.7242 , 120.4882 , 109.65 , 97.7242 , 0.6168 , 0.5275 , 0.57 , 0.6168 , 0.5754 , 0.5629 , 0.5669 , 0.5754 , 0.114 , -0.089 , 0.0082 , 0.114 , 0.3311 , 0.3169 , 0.3213 , 0.3311 , matang
Copy of m104.png , 24203.75 , 29351.1478 , 26817.8864 , 24203.75 , 94.9167 , 115.1025 , 105.1682 , 94.9167 , 0.6278 , 0.5486 , 0.5876 , 0.6278 , 0.5885 , 0.575 , 0.5803 , 0.5885 , 0.1138 , -0.0702 , 0.0202 , 0.1138 , 0.3463 , 0.3306 , 0.3367 , 0.3463 , matang
Copy of m105.png , 24834.2955 , 28986.2489 , 25944.3182 , 24834.2955 , 97.3894 , 113.6716 , 101.7424 , 97.3894 , 0.6181 , 0.5542 , 0.601 , 0.6181 , 0.5851 , 0.5741 , 0.5809 , 0.5851 , 0.0942 , -0.053 , 0.0563 , 0.0942 , 0.3423 , 0.3296 , 0.3374 , 0.3423 , matang
Copy of m106.png , 24610.9773 , 28190.1056 , 24578.1364 , 24610.9773 , 96.5136 , 110.5494 , 96.3848 , 96.5136 , 0.6215 , 0.5665 , 0.622 , 0.6215 , 0.5914 , 0.5813 , 0.5918 , 0.5914 , 0.0881 , -0.041 , 0.0885 , 0.0881 , 0.3497 , 0.338 , 0.3502 , 0.3497 , matang
Copy of m107.png , 26082.25 , 29271.5335 , 25294.0682 , 26082.25 , 102.2833 , 114.7903 , 99.1924 , 102.2833 , 0.5989 , 0.5498 , 0.611 , 0.5989 , 0.5783 , 0.5708 , 0.5801 , 0.5783 , 0.057 , -0.055 , 0.0863 , 0.057 , 0.3344 , 0.3258 , 0.3366 , 0.3344 , matang
Copy of m108.png , 25583.0682 , 29895.1791 , 27251.3864 , 25583.0682 , 100.3258 , 117.236 , 106.8682 , 100.3258 , 0.6066 , 0.5403 , 0.5809 , 0.6066 , 0.577 , 0.5672 , 0.5718 , 0.577 , 0.0816 , -0.0695 , 0.0244 , 0.0816 , 0.333 , 0.3218 , 0.327 , 0.333 , matang
Copy of m109.png , 25760.4091 , 29968.1589 , 26686.5227 , 25760.4091 , 101.0212 , 117.5222 , 104.653 , 101.0212 , 0.6038 , 0.5391 , 0.5896 , 0.6038 , 0.577 , 0.568 , 0.5746 , 0.577 , 0.074 , -0.0746 , 0.0409 , 0.074 , 0.333 , 0.3226 , 0.3301 , 0.333 , matang
Copy of m11.png , 25944.3182 , 28163.5675 , 24006.7045 , 25944.3182 , 101.7424 , 110.4454 , 94.1439 , 101.7424 , 0.601 , 0.5669 , 0.6308 , 0.601 , 0.5839 , 0.5776 , 0.5899 , 0.5839 , 0.0484 , -0.0292 , 0.1192 , 0.0484 , 0.3409 , 0.3336 , 0.348 , 0.3409 , matang
Copy of m110.png , 25766.9773 , 29490.4729 , 25313.7727 , 25766.9773 , 101.047 , 115.6489 , 99.2697 , 101.047 , 0.6037 , 0.5465 , 0.6107 , 0.6037 , 0.5821 , 0.5732 , 0.5826 , 0.5821 , 0.0609 , -0.0705 , 0.0793 , 0.0609 , 0.3388 , 0.3285 , 0.3395 , 0.3388 , matang
Copy of m111.png , 24630.6818 , 28422.314 , 24538.7273 , 24630.6818 , 96.5909 , 111.4601 , 96.2303 , 96.5909 , 0.6212 , 0.5629 , 0.6226 , 0.6212 , 0.5911 , 0.5806 , 0.5909 , 0.5911 , 0.0878 , -0.0486 , 0.0927 , 0.0878 , 0.3494 , 0.3371 , 0.3491 , 0.3494 , matang
Copy of m112.png , 25057.6136 , 28555.0046 , 25622.4773 , 25057.6136 , 98.2652 , 111.9804 , 100.4803 , 98.2652 , 0.6147 , 0.5609 , 0.606 , 0.6147 , 0.5852 , 0.5759 , 0.5831 , 0.5852 , 0.084 , -0.0404 , 0.0646 , 0.084 , 0.3425 , 0.3316 , 0.34 , 0.3425 , matang
Copy of m113.png , 24571.5682 , 29530.2801 , 27533.8182 , 24571.5682 , 96.3591 , 115.805 , 107.9758 , 96.3591 , 0.6221 , 0.5459 , 0.5766 , 0.6221 , 0.5824 , 0.5701 , 0.5738 , 0.5824 , 0.1123 , -0.0633 , 0.0075 , 0.1123 , 0.3392 , 0.325 , 0.3292 , 0.3392 , matang
Copy of m114.png , 24584.7045 , 29915.0826 , 28138.0909 , 24584.7045 , 96.4106 , 117.314 , 110.3455 , 96.4106 , 0.6219 , 0.54 , 0.5673 , 0.6219 , 0.5805 , 0.5678 , 0.5709 , 0.5805 , 0.1163 , -0.0719 , -0.0095 , 0.1163 , 0.337 , 0.3224 , 0.3259 , 0.337 , matang
Copy of m115.png , 26128.2273 , 30193.7328 , 27632.3409 , 26128.2273 , 102.4636 , 118.4068 , 108.3621 , 102.4636 , 0.5982 , 0.5357 , 0.5751 , 0.5982 , 0.5738 , 0.5652 , 0.5695 , 0.5738 , 0.0664 , -0.0754 , 0.0148 , 0.0664 , 0.3293 , 0.3195 , 0.3243 , 0.3293 , matang
Copy of m116.png , 25832.6591 , 29862.0064 , 25799.8182 , 25832.6591 , 101.3045 , 117.1059 , 101.1758 , 101.3045 , 0.6027 , 0.5408 , 0.6032 , 0.6027 , 0.5788 , 0.5696 , 0.5779 , 0.5788 , 0.0664 , -0.075 , 0.07 , 0.0664 , 0.335 , 0.3245 , 0.334 , 0.335 , matang
Copy of m117.png , 24854.0 , 28309.5271 , 25162.7045 , 24854.0 , 97.4667 , 111.0178 , 98.6773 , 97.4667 , 0.6178 , 0.5646 , 0.613 , 0.6178 , 0.5876 , 0.5779 , 0.5861 , 0.5876 , 0.0869 , -0.0361 , 0.077 , 0.0869 , 0.3453 , 0.334 , 0.3435 , 0.3453 , matang
Copy of m118.png , 24880.2727 , 28946.4417 , 27343.3409 , 24880.2727 , 97.5697 , 113.5155 , 107.2288 , 97.5697 , 0.6174 , 0.5548 , 0.5795 , 0.6174 , 0.5845 , 0.5736 , 0.5764 , 0.5845 , 0.0937 , -0.05 , 0.0085 , 0.0937 , 0.3416 , 0.329 , 0.3322 , 0.3416 , matang
Copy of m119.png , 24308.8409 , 30286.6162 , 28059.2727 , 24308.8409 , 95.3288 , 118.771 , 110.0364 , 95.3288 , 0.6262 , 0.5342 , 0.5685 , 0.6262 , 0.5797 , 0.5655 , 0.5692 , 0.5797 , 0.1304 , -0.0798 , -0.0019 , 0.1304 , 0.336 , 0.3198 , 0.324 , 0.336 , matang
Copy of m12.png , 25944.3182 , 28163.5675 , 24006.7045 , 25944.3182 , 101.7424 , 110.4454 , 94.1439 , 101.7424 , 0.601 , 0.5669 , 0.6308 , 0.601 , 0.5839 , 0.5776 , 0.5899 , 0.5839 , 0.0484 , -0.0292 , 0.1192 , 0.0484 , 0.3409 , 0.3336 , 0.348 , 0.3409 , matang
Copy of m120.png , 24006.7045 , 29696.1433 , 27225.1136 , 24006.7045 , 94.1439 , 116.4555 , 106.7652 , 94.1439 , 0.6308 , 0.5433 , 0.5813 , 0.6308 , 0.5862 , 0.5716 , 0.5762 , 0.5862 , 0.1282 , -0.0741 , 0.0141 , 0.1282 , 0.3436 , 0.3267 , 0.332 , 0.3436 , matang
Copy of m126.png , 24716.0682 , 28428.9486 , 24473.0455 , 24716.0682 , 96.9258 , 111.4861 , 95.9727 , 96.9258 , 0.6199 , 0.5628 , 0.6236 , 0.6199 , 0.5946 , 0.5844 , 0.5955 , 0.5946 , 0.0748 , -0.0601 , 0.0836 , 0.0748 , 0.3536 , 0.3415 , 0.3546 , 0.3536 , matang
Copy of m127.png , 25432.0 , 30034.5041 , 27474.7045 , 25432.0 , 99.7333 , 117.7824 , 107.7439 , 99.7333 , 0.6089 , 0.5381 , 0.5775 , 0.6089 , 0.5786 , 0.5683 , 0.5725 , 0.5786 , 0.0841 , -0.0781 , 0.0133 , 0.0841 , 0.3348 , 0.323 , 0.3278 , 0.3348 , matang
Copy of m128.png , 24748.9091 , 29205.1882 , 26535.4545 , 24748.9091 , 97.0545 , 114.5301 , 104.0606 , 97.0545 , 0.6194 , 0.5509 , 0.5919 , 0.6194 , 0.587 , 0.5759 , 0.5813 , 0.587 , 0.0931 , -0.067 , 0.0297 , 0.0931 , 0.3446 , 0.3316 , 0.3379 , 0.3446 , matang
Copy of m129.png , 25392.5909 , 29603.2599 , 26390.9545 , 25392.5909 , 99.5788 , 116.0912 , 103.4939 , 99.5788 , 0.6095 , 0.5447 , 0.5941 , 0.6095 , 0.5816 , 0.5719 , 0.5785 , 0.5816 , 0.0785 , -0.0713 , 0.0431 , 0.0785 , 0.3382 , 0.327 , 0.3347 , 0.3382 , matang
Copy of m13.png , 25944.3182 , 28163.5675 , 24006.7045 , 25944.3182 , 101.7424 , 110.4454 , 94.1439 , 101.7424 , 0.601 , 0.5669 , 0.6308 , 0.601 , 0.5839 , 0.5776 , 0.5899 , 0.5839 , 0.0484 , -0.0292 , 0.1192 , 0.0484 , 0.3409 , 0.3336 , 0.348 , 0.3409 , matang
Copy of m130.png , 26305.5682 , 30293.2507 , 26831.0227 , 26305.5682 , 103.1591 , 118.7971 , 105.2197 , 103.1591 , 0.5955 , 0.5341 , 0.5874 , 0.5955 , 0.5708 , 0.5624 , 0.5685 , 0.5708 , 0.0664 , -0.0713 , 0.0502 , 0.0664 , 0.3258 , 0.3163 , 0.3232 , 0.3258 , matang
Copy of m131.png , 26837.5909 , 29251.6299 , 23402.4318 , 26837.5909 , 105.2455 , 114.7123 , 91.7742 , 105.2455 , 0.5873 , 0.5502 , 0.6401 , 0.5873 , 0.5804 , 0.5744 , 0.5904 , 0.5804 , 0.019 , -0.0647 , 0.1451 , 0.019 , 0.3369 , 0.33 , 0.3486 , 0.3369 , matang
Copy of m132.png , 26765.3409 , 29470.5693 , 24742.3409 , 26765.3409 , 104.9621 , 115.5709 , 97.0288 , 104.9621 , 0.5884 , 0.5468 , 0.6195 , 0.5884 , 0.5808 , 0.5744 , 0.5857 , 0.5808 , 0.0212 , -0.0734 , 0.0967 , 0.0212 , 0.3373 , 0.3299 , 0.343 , 0.3373 , matang
Copy of m133.png , 26285.8636 , 29603.2599 , 26193.9091 , 26285.8636 , 103.0818 , 116.0912 , 102.7212 , 103.0818 , 0.5958 , 0.5447 , 0.5972 , 0.5958 , 0.5778 , 0.5705 , 0.5773 , 0.5778 , 0.0496 , -0.0674 , 0.0548 , 0.0496 , 0.3338 , 0.3255 , 0.3333 , 0.3338 , matang
Copy of m134.png , 23251.3636 , 27141.8503 , 24689.7955 , 23251.3636 , 91.1818 , 106.4386 , 96.8227 , 91.1818 , 0.6424 , 0.5826 , 0.6203 , 0.6424 , 0.605 , 0.5921 , 0.5993 , 0.605 , 0.1155 , -0.0275 , 0.0631 , 0.1155 , 0.366 , 0.3506 , 0.3592 , 0.366 , matang
Copy of m135.png , 24039.5455 , 30147.2911 , 27704.5909 , 24039.5455 , 94.2727 , 118.2247 , 108.6455 , 94.2727 , 0.6303 , 0.5364 , 0.5739 , 0.6303 , 0.5834 , 0.5684 , 0.5726 , 0.5834 , 0.1333 , -0.0826 , 0.0037 , 0.1333 , 0.3404 , 0.3231 , 0.3278 , 0.3404 , matang
Copy of m136.png , 25143.0 , 31354.775 , 29504.2727 , 25143.0 , 98.6 , 122.9599 , 115.703 , 98.6 , 0.6133 , 0.5178 , 0.5463 , 0.6133 , 0.5678 , 0.5554 , 0.5574 , 0.5678 , 0.122 , -0.0914 , -0.0279 , 0.122 , 0.3224 , 0.3085 , 0.3107 , 0.3224 , matang
Copy of m137.png , 24716.0682 , 28747.4059 , 25208.6818 , 24716.0682 , 96.9258 , 112.7349 , 98.8576 , 96.9258 , 0.6199 , 0.5579 , 0.6123 , 0.6199 , 0.5888 , 0.5783 , 0.5864 , 0.5888 , 0.09 , -0.0552 , 0.0743 , 0.09 , 0.3467 , 0.3344 , 0.3438 , 0.3467 , matang
Copy of m138.png , 25924.6136 , 29457.3003 , 25057.6136 , 25924.6136 , 101.6652 , 115.5188 , 98.2652 , 101.6652 , 0.6013 , 0.547 , 0.6147 , 0.6013 , 0.583 , 0.5746 , 0.5848 , 0.583 , 0.0516 , -0.0735 , 0.085 , 0.0516 , 0.3399 , 0.3302 , 0.342 , 0.3399 , matang
Copy of m139.png , 24610.9773 , 28190.1056 , 24578.1364 , 24610.9773 , 96.5136 , 110.5494 , 96.3848 , 96.5136 , 0.6215 , 0.5665 , 0.622 , 0.6215 , 0.5914 , 0.5813 , 0.5918 , 0.5914 , 0.0881 , -0.041 , 0.0885 , 0.0881 , 0.3497 , 0.338 , 0.3502 , 0.3497 , matang
